iter	Passed	Remaining
204	673	2611
205	675	2603
206	678	2597
207	680	2590
208	683	2585
209	684	2575
210	689	2579
211	692	2572
212	694	2565
213	695	2555
214	699	2554
215	702	2550
216	705	2546
217	708	2540
218	710	2533
219	713	2528
220	715	2522
221	718	2516
222	721	2512
223	723	2506
224	725	2500
225	728	2493
226	730	2486
227	732	2480
228	734	2474
229	737	2468
230	739	2462
231	742	2457
232	746	2458
233	750	2455
234	752	2449
235	755	2445
236	757	2439
237	760	2434
238	762	2428
239	766	2425
240	768	2420
241	771	2416
242	773	2410
243	777	2409
244	780	2403
245	782	2397
246	783	2388
247	786	2383
248	788	2377
249	792	2377
250	795	2373
251	797	2367
252	798	2358
253	801	2352
254	803	2348
255	807	2347
256	811	2346
257	813	2339
258	816	2335
259	818	2330
260	820	2324
261	824	2321
262	827	2317
263	831	2318
264	834	2315
265	838	2312
266	840	2308
267	844	2306
268	847	2303
269	850	2298
270	852	2293
271	856	2291
272	858	2287
273	861	2282
274	864	2280
275	868	2278
276	873	2280
277	879	2283
278	883	2284
279	890	2288
280	895	2292
281	899	2289
282	901	2283
283	904	2279
284	906	2274
285	909	2269
286	911	2264
287	913	2259
288	916	2254
289	919	2251
290	922	2246
291	927	2248
292	931	2247
293	935	2247
294	940	2247
295	942	2242
296	945	2238
297	948	2233
298	951	2229
299	954	2226
300	957	2222
301	960	2220
302	964	2219
303	967	2215
304	970	2210
305	972	2206
306	975	2201
307	978	2197
308	980	2192
309	983	2188
310	988	2190
311	991	2186
312	994	2183
313	998	2180
314	1003	2181
315	1005	2176
316	1008	2173
317	1011	2170
318	1015	2168
319	1018	2163
320	1019	2156
321	1023	2154
322	1031	2161
323	1035	2160
324	1039	2158
325	1045	2161
326	1049	2160
327	1055	2162
328	1060	2163
329	1064	2160
330	1066	2155
331	1068	2149
332	1070	2144
333	1073	2139
334	1076	2135
335	1079	2133
336	1081	2128
337	1084	2123
338	1086	2118
339	1088	2113
340	1091	2110
341	1094	2105
342	1099	2105
343	1101	2100
344	1104	2096
345	1107	2092
346	1109	2087
347	1113	2086
348	1116	2081
349	1118	2076
350	1120	2071
351	1123	2067
352	1125	2063
353	1127	2058
354	1129	2053
355	1132	2048
356	1136	2046
357	1138	2041
358	1140	2035
359	1144	2034
360	1146	2029
361	1149	2026
362	1151	2019
363	1154	2016
364	1161	2020
365	1163	2014
366	1174	2026
367	1176	2020
368	1181	2020
369	1183	2015
370	1186	2012
371	1191	2011
372	1193	2006
373	1196	2002
374	1199	1998
375	1202	1995
376	1204	1990
377	1206	1986
378	1208	1979
379	1212	1978
380	1216	1976
381	1220	1975
382	1230	1982
383	1238	1986
384	1241	1982
385	1244	1978
386	1247	1975
387	1251	1973
388	1256	1973
389	1259	1970
390	1262	1966
391	1267	1965
392	1274	1967
393	1277	1964
394	1280	1961
395	1284	1958
396	1286	1953
397	1289	1950
398	1292	1947
399	1298	1948
400	1305	1950
401	1307	1945
402	1310	1940
403	1311	1934
404	1315	1932
405	1317	1928
406	1320	1923
407	1322	1919
408	1325	1914
409	1327	1910
410	1329	1904
411	1331	1900
412	1333	1895
413	1337	1892
414	1339	1888
415	1342	1884
416	1344	1879
417	1346	1875
418	1349	1871
419	1352	1867
420	1354	1862
421	1356	1858
422	1358	1853
423	1361	1849
424	1364	1845
425	1368	1843
426	1370	1839
427	1372	1833
428	1374	1828
429	1377	1825
430	1379	1821
431	1381	1816
432	1384	1812
433	1386	1808
434	1388	1803
435	1392	1801
436	1394	1796
437	1397	1793
438	1400	1789
439	1402	1785
440	1405	1781
441	1408	1778
442	1411	1774
443	1414	1770
444	1416	1766
445	1418	1761
446	1420	1757
447	1422	1752
448	1425	1748
449	1427	1744
450	1430	1740
451	1432	1736
452	1435	1732
453	1436	1727
454	1440	1725
455	1443	1721
456	1445	1717
457	1447	1712
458	1449	1708
459	1451	1703
460	1453	1698
461	1456	1696
462	1459	1692
463	1461	1688
464	1464	1684
465	1466	1680
466	1468	1676
467	1471	1672
468	1473	1668
469	1477	1665
470	1479	1662
471	1482	1658
472	1484	1653
473	1486	1649
474	1489	1645
475	1492	1643
476	1495	1639
477	1497	1635
478	1499	1631
479	1502	1628
480	1505	1623
481	1507	1620
482	1510	1616
483	1512	1612
484	1515	1608
485	1518	1605
486	1520	1601
487	1523	1598
488	1526	1595
489	1528	1591
490	1531	1587
491	1534	1584
492	1536	1580
493	1538	1575
494	1541	1572
495	1543	1568
496	1546	1564
497	1548	1560
498	1550	1557
499	1555	1555
500	1558	1551
501	1560	1548
502	1562	1544
503	1565	1540
504	1567	1536
505	1570	1533
506	1572	1529
507	1574	1525
508	1577	1521
509	1579	1517
510	1581	1513
511	1583	1509
512	1588	1507
513	1590	1504
514	1593	1500
515	1596	1497
516	1599	1494
517	1601	1490
518	1604	1486
519	1606	1483
520	1608	1479
521	1611	1475
522	1614	1472
523	1618	1470
524	1622	1467
525	1624	1463
526	1626	1459
527	1629	1456
528	1631	1452
529	1634	1449
530	1636	1445
531	1638	1441
532	1640	1437
533	1643	1434
534	1645	1430
535	1649	1428
536	1651	1424
537	1653	1420
538	1656	1416
539	1658	1412
540	1660	1409
541	1663	1405
542	1665	1401
543	1668	1398
544	1670	1394
545	1672	1390
546	1675	1387
547	1677	1383
548	1681	1381
549	1684	1377
550	1686	1374
551	1688	1370
552	1691	1366
553	1693	1363
554	1697	1360
555	1699	1357
556	1702	1353
557	1704	1349
558	1707	1347
559	1709	1343
560	1714	1341
561	1718	1339
562	1721	1335
563	1722	1331
564	1724	1327
565	1728	1325
566	1731	1322
567	1734	1318
568	1735	1314
569	1740	1312
570	1742	1309
571	1746	1306
572	1748	1303
573	1751	1299
574	1753	1295
575	1756	1292
576	1758	1289
577	1761	1285
578	1763	1282
579	1766	1279
580	1769	1275
581	1770	1271
582	1772	1268
583	1777	1266
584	1780	1263
585	1782	1259
586	1784	1255
587	1787	1252
588	1789	1248
589	1791	1245
590	1793	1241
591	1796	1238
592	1798	1234
593	1802	1232
594	1805	1228
595	1808	1226
596	1810	1222
597	1812	1218
598	1815	1215
599	1819	1212
600	1821	1209
601	1824	1206
602	1827	1202
603	1829	1199
604	1832	1196
605	1835	1193
606	1837	1189
607	1840	1186
608	1842	1182
609	1844	1179
610	1846	1175
611	1849	1172
612	1852	1169
613	1855	1166
614	1857	1162
615	1860	1159
616	1862	1155
617	1864	1152
618	1867	1149
619	1870	1146
620	1872	1142
621	1874	1139
622	1877	1135
623	1880	1132
624	1883	1130
625	1886	1126
626	1888	1123
627	1891	1120
628	1894	1117
629	1897	1114
630	1901	1111
631	1903	1108
632	1905	1105
633	1908	1101
634	1910	1098
635	1912	1094
636	1915	1091
637	1918	1088
638	1920	1084
639	1922	1081
640	1925	1078
641	1927	1074
642	1929	1071
643	1932	1068
644	1935	1065
645	1938	1062
646	1940	1058
647	1943	1055
648	1945	1052
649	1949	1049
650	1952	1046
651	1954	1043
652	1957	1040
653	1959	1036
654	1961	1033
655	1964	1030
656	1966	1026
657	1969	1023
658	1971	1020
659	1974	1016
660	1976	1013
661	1979	1010
662	1983	1008
663	1985	1004
664	1986	1000
665	1990	998
666	1992	994
667	1995	991
668	1997	988
669	2000	985
670	2002	981
671	2005	978
672	2008	975
673	2012	973
674	2014	969
675	2016	966
676	2018	963
677	2021	960
678	2024	957
679	2026	953
680	2028	950
681	2031	947
682	2033	943
683	2034	940
684	2038	937
685	2040	933
686	2044	931
687	2046	928
688	2049	924
689	2051	921
690	2053	918
691	2056	915
692	2059	912
693	2061	909
694	2064	906
695	2067	902
696	2069	899
697	2072	896
698	2074	893
699	2076	889
700	2078	886
701	2080	883
702	2083	880
703	2086	877
704	2088	873
705	2091	870
706	2093	867
707	2095	864
708	2097	860
709	2100	858
710	2102	854
711	2105	851
712	2107	848
713	2109	845
714	2112	841
715	2114	838
716	2119	836
717	2123	833
718	2125	830
719	2127	827
720	2129	824
721	2132	821
722	2134	817
723	2137	814
724	2140	811
725	2142	808
726	2144	805
727	2146	802
728	2148	798
729	2151	795
730	2153	792
731	2156	789
732	2158	786
733	2160	783
734	2164	780
735	2165	776
736	2170	774
737	2172	771
738	2174	768
739	2177	764
740	2179	761
741	2183	759
742	2185	755
743	2188	752
744	2190	749
745	2192	746
746	2197	744
747	2200	741
748	2202	738
749	2205	735
750	2207	731
751	2209	728
752	2212	725
753	2214	722
754	2216	719
755	2218	716
756	2221	712
757	2222	709
758	2224	706
759	2227	703
760	2229	700
761	2233	697
762	2235	694
763	2237	691
764	2239	687
765	2241	684
766	2243	681
767	2248	679
768	2250	676
769	2252	672
770	2255	669
771	2258	666
772	2260	663
773	2263	660
774	2265	657
775	2267	654
776	2269	651
777	2272	648
778	2274	645
779	2276	642
780	2279	639
781	2282	636
782	2284	633
783	2286	630
784	2289	627
785	2293	624
786	2295	621
787	2298	618
788	2301	615
789	2303	612
790	2305	609
791	2308	606
792	2310	603
793	2312	600
794	2315	596
795	2317	593
796	2319	590
797	2325	588
798	2328	585
799	2330	582
800	2332	579
801	2336	576
802	2339	573
803	2342	571
804	2344	567
805	2347	564
806	2349	561
807	2352	558
808	2354	555
809	2358	553
810	2361	550
811	2363	547
812	2365	544
813	2368	541
814	2371	538
815	2374	535
816	2377	532
817	2379	529
818	2381	526
819	2383	523
820	2387	520
821	2390	517
822	2392	514
823	2394	511
824	2397	508
825	2399	505
826	2402	502
827	2404	499
828	2407	496
829	2409	493
830	2411	490
831	2414	487
832	2416	484
833	2418	481
834	2421	478
835	2423	475
836	2425	472
837	2427	469
838	2430	466
839	2432	463
840	2434	460
841	2437	457
842	2439	454
843	2441	451
844	2444	448
845	2446	445
846	2449	442
847	2451	439
848	2453	436
849	2456	433
850	2458	430
851	2461	427
852	2463	424
853	2466	421
854	2468	418
855	2470	415
856	2473	412
857	2475	409
858	2477	406
859	2479	403
860	2481	400
861	2483	397
862	2485	394
863	2488	391
864	2490	388
865	2493	385
866	2496	382
867	2498	380
868	2501	377
869	2503	374
870	2505	371
871	2507	368
872	2510	365
873	2512	362
874	2515	359
875	2517	356
876	2520	353
877	2522	350
878	2524	347
879	2526	344
880	2529	341
881	2531	338
882	2533	335
883	2535	332
884	2537	329
885	2539	326
886	2541	323
887	2544	320
888	2546	317
889	2548	315
890	2550	312
891	2552	309
892	2555	306
893	2557	303
894	2559	300
895	2561	297
896	2563	294
897	2566	291
898	2567	288
899	2570	285
900	2572	282
901	2574	279
902	2576	276
903	2578	273
904	2580	270
905	2582	267
906	2585	265
907	2587	262
908	2589	259
909	2591	256
910	2593	253
911	2595	250
912	2597	247
913	2599	244
914	2601	241
915	2603	238
916	2606	235
917	2608	232
918	2610	230
919	2612	227
920	2614	224
921	2617	221
922	2619	218
923	2621	215
924	2624	212
925	2626	209
926	2628	206
927	2630	204
928	2633	201
929	2635	198
930	2637	195
931	2639	192
932	2642	189
933	2644	186
934	2646	184
935	2649	181
936	2653	178
937	2655	175
938	2658	172
939	2660	169
940	2662	166
941	2665	164
942	2667	161
943	2669	158
944	2671	155
945	2674	152
946	2676	149
947	2678	146
948	2680	144
949	2683	141
950	2685	138
951	2687	135
952	2689	132
953	2692	129
954	2694	126
955	2696	124
956	2698	121
957	2701	118
958	2703	115
959	2705	112
960	2707	109
961	2710	107
962	2712	104
963	2715	101
964	2717	98
965	2719	95
966	2721	92
967	2724	90
968	2726	87
969	2729	84
970	2731	81
971	2734	78
972	2736	75
973	2738	73
974	2741	70
975	2744	67
976	2746	64
977	2748	61
978	2751	59
979	2753	56
980	2756	53
981	2758	50
982	2760	47
983	2762	44
984	2764	42
985	2766	39
986	2768	36
987	2770	33
988	2773	30
989	2775	28
990	2777	25
991	2779	22
992	2781	19
993	2783	16
994	2785	13
995	2788	11
996	2790	8
997	2792	5
998	2794	2
999	2796	0
	2819	0
